iter	Passed	Remaining
0	210	209974
1	214	107050
2	216	72065
3	219	54619
4	224	44760
5	228	37831
6	231	32881
7	234	29072
8	237	26128
9	239	23739
10	242	21766
11	244	20168
12	247	18814
13	252	17757
14	254	16726
15	257	15838
16	260	15039
17	266	14547
18	269	13898
19	271	13284
20	273	12748
21	276	12291
22	278	11829
23	280	11419
24	283	11051
25	286	10719
26	289	10426
27	291	10119
28	295	9905
29	307	9958
30	314	9827
31	320	9703
32	322	9459
33	335	9527
34	337	9308
35	348	9343
36	351	9149
37	354	8963
38	359	8868
39	362	8704
40	365	8547
41	367	8387
42	373	8304
43	375	8153
44	377	8018
45	380	7888
46	382	7755
47	384	7625
48	391	7592
49	393	7478
50	396	7370
51	397	7252
52	402	7191
53	404	7089
54	406	6985
55	409	6896
56	412	6819
57	414	6730
58	418	6673
59	420	6587
60	422	6510
61	425	6436
62	427	6364
63	432	6329
64	435	6260
65	443	6269
66	450	6271
67	453	6217
68	455	6152
69	457	6077
70	459	6005
71	460	5935
72	464	5901
73	466	5835
74	468	5775
75	470	5720
76	473	5670
77	475	5616
78	479	5591
79	481	5533
80	483	5483
81	485	5434
82	486	5375
83	488	5326
84	490	5278
85	494	5252
86	496	5206
87	498	5162
88	500	5125
89	503	5088
90	507	5069
91	508	5023
92	511	4986
93	513	4948
94	515	4910
95	517	4872
96	521	4854
97	524	4823
98	525	4784
99	528	4754
100	530	4724
101	533	4694
102	539	4694
103	541	4662
104	543	4632
105	545	4600
106	547	4570
107	553	4573
108	555	4544
109	557	4510
110	559	4481
111	561	4451
112	563	4422
113	568	4421
114	570	4393
115	573	4367
116	574	4338
117	576	4312
118	578	4284
119	583	4276
120	584	4248
121	586	4218
122	588	4194
123	590	4170
124	592	4147
125	594	4121
126	595	4092
127	599	4081
128	601	4058
129	603	4038
130	605	4018
131	607	3996
132	609	3971
133	613	3966
134	615	3946
135	618	3928
136	621	3912
137	623	3896
138	628	3890
139	630	3872
140	632	3855
141	634	3832
142	636	3813
143	638	3796
144	642	3790
145	644	3772
146	646	3751
147	648	3733
148	650	3715
149	652	3699
150	654	3679
151	659	3677
152	661	3663
153	664	3648
154	667	3638
155	677	3666
156	680	3652
157	681	3633
158	683	3615
159	685	3596
160	685	3574
161	692	3580
162	694	3565
163	695	3547
164	697	3530
165	731	3674
166	782	3904
167	785	3888
168	787	3874
169	790	3861
170	795	3857
171	798	3843
172	814	3895
173	829	3937
174	846	3989
175	859	4022
176	861	4007
177	876	4046
178	878	4029
179	889	4052
180	892	4037
181	916	4117
182	921	4112
183	922	4092
184	924	4073
185	938	4106
186	940	4090
187	955	4125
188	957	4109
189	959	4091
190	961	4074
191	976	4111
192	978	4092
193	993	4128
194	1028	4243
195	1041	4271
196	1043	4252
197	1056	4281
198	1058	4260
199	1060	4241
200	1076	4280
201	1092	4317
202	1109	4355
203	1122	4381
204	1134	4400
205	1136	4380
206	1139	4366
207	1148	4374
208	1152	4360
209	1160	4365
210	1163	4349
211	1165	4331
212	1174	4338
213	1181	4339
214	1188	4340
215	1192	4329
216	1197	4321
217	1199	4304
218	1205	4299
219	1209	4287
220	1211	4271
221	1213	4254
222	1216	4237
223	1219	4224
224	1224	4216
225	1231	4217
226	1234	4202
227	1235	4184
228	1238	4169
229	1239	4151
230	1242	4136
231	1248	4133
232	1254	4130
233	1257	4114
234	1260	4103
235	1262	4086
236	1264	4072
237	1267	4058
238	1272	4053
239	1275	4040
240	1278	4025
241	1280	4010
242	1283	3997
243	1290	3997
